"rules","support","confidence","lift"
"{B2} => {R2}",0.622920517560074,0.838308457711443,1.03781436069082
"{A2,G2} => {R2}",0.621072088724584,0.833746898263027,1.03216721272379
"{R2} => {G2}",0.691312384473198,0.8558352402746,1.03119569039768
"{G2} => {R2}",0.691312384473198,0.832962138084632,1.03119569039768
"{A2,R2} => {G2}",0.621072088724584,0.854961832061069,1.03014332103572
"{K2} => {A2}",0.606284658040665,0.921348314606742,1.02351014004568
"{A2,G2} => {F2}",0.630314232902033,0.846153846153846,1.02180631868132
"{W2} => {G2}",0.600739371534196,0.844155844155844,1.01712318861539
"{A2,R2} => {F2}",0.611829944547135,0.842239185750636,1.01707901672119
"{L2} => {A2}",0.656192236598891,0.914948453608247,1.01640064353606
"{B2} => {G2}",0.626617375231054,0.843283582089552,1.01607220024599
"{F2} => {G2}",0.696857670979667,0.841517857142857,1.01394467865097
"{G2} => {F2}",0.696857670979667,0.839643652561247,1.01394467865097
"{A2,F2} => {G2}",0.630314232902033,0.839901477832512,1.01199710357993
"{A2,F2} => {R2}",0.611829944547135,0.815270935960591,1.00929422506792
"{F2} => {R2}",0.674676524953789,0.814732142857143,1.00862720660347
"{R2} => {F2}",0.674676524953789,0.835240274599542,1.00862720660347
"{F2,R2} => {A2}",0.611829944547135,0.906849315068493,1.00740344856685
"{Y2} => {A2}",0.66543438077634,0.906801007556675,1.00734978457528
"{F2} => {A2}",0.750462107208872,0.90625,1.00673767967146
"{A2} => {F2}",0.750462107208872,0.833675564681725,1.00673767967146
"{B2} => {F2}",0.619223659889094,0.833333333333333,1.0063244047619
"{B2} => {A2}",0.672828096118299,0.90547263681592,1.00587412015896
"{F2,G2} => {A2}",0.630314232902033,0.904509283819629,1.00480394773392
"{A2} => {R2}",0.726432532347505,0.806981519507187,0.999032041312101
"{R2} => {A2}",0.726432532347505,0.899313501144165,0.999032041312101
"{G2,R2} => {A2}",0.621072088724584,0.898395721925134,0.998012496019502
"{G2} => {A2}",0.744916820702403,0.897550111358575,0.997073121652955
"{A2} => {G2}",0.744916820702403,0.827515400410678,0.997073121652954
"{Y2} => {G2}",0.606284658040665,0.826196473551637,0.995483946974244
"{W2} => {A2}",0.637707948243993,0.896103896103896,0.995466545774554
"{Y2} => {F2}",0.604436229205176,0.82367758186398,0.994664222741994
