"rules","support","confidence","lift"
"{A2,M2} => {B2}",0.473197781885397,0.815286624203822,1.09718921316982
"{G2,V2} => {R2}",0.480591497227357,0.88135593220339,1.09110654307102
"{M2} => {B2}",0.515711645101664,0.804034582132565,1.08204653963611
"{F2,V2} => {R2}",0.471349353049908,0.870307167235495,1.07742832374005
"{B2,G2} => {R2}",0.541589648798521,0.864306784660767,1.06999993249765
"{G2,M2} => {R2}",0.476894639556377,0.862876254180602,1.06822895540436
"{A2,B2,G2} => {R2}",0.487985212569316,0.862745098039216,1.0680665859021
"{B2,F2,G2} => {R2}",0.452865064695009,0.859649122807018,1.0642338110723
"{V2} => {R2}",0.55637707948244,0.857549857549858,1.0616349495068
"{A2,V2} => {R2}",0.504621072088725,0.855799373040752,1.05946787371864
"{F2,Z2} => {G2}",0.487985212569316,0.877076411960133,1.05678917343081
"{B2,L2} => {R2}",0.451016635859519,0.853146853146853,1.05618409050903
"{R2,Z2} => {G2}",0.456561922365989,0.875886524822695,1.05535547868392
"{M2,R2} => {G2}",0.476894639556377,0.874576271186441,1.05377675436941
"{R2,Z2} => {F2}",0.454713493530499,0.872340425531915,1.05342895136778
"{F2,M2} => {R2}",0.452865064695009,0.850694444444444,1.05314804220697
"{M2} => {R2}",0.545286506469501,0.85014409221902,1.05246671370822
"{G2,Z2} => {F2}",0.487985212569316,0.871287128712871,1.05215700141443
"{B2,Y2} => {R2}",0.460258780036969,0.849829351535836,1.05207706906382
"{B2,F2,R2} => {G2}",0.452865064695009,0.871886120996441,1.05053539300462
"{B2,R2} => {G2}",0.541589648798521,0.869436201780415,1.04758348588687
"{A2,G2,Y2} => {R2}",0.465804066543438,0.845637583892617,1.04688771827438
"{A2,B2,R2} => {G2}",0.487985212569316,0.868421052631579,1.04636033290353
"{F2,M2} => {G2}",0.462107208872458,0.868055555555556,1.04591994555803
"{G2,Y2} => {R2}",0.512014787430684,0.844512195121951,1.04549450242786
"{O2} => {R2}",0.491682070240296,0.844444444444444,1.04541062801932
"{A2,M2} => {R2}",0.489833641404806,0.843949044585987,1.04479732979638
"{R2,W2} => {G2}",0.502772643253235,0.866242038216561,1.04373483892018
"{D2,G2} => {R2}",0.452865064695009,0.84192439862543,1.04229084589555
"{R2,V2} => {G2}",0.480591497227357,0.863787375415282,1.04077721625761
"{A2,Z2} => {F2}",0.506469500924214,0.861635220125786,1.04050146001797
"{A2,B2,F2} => {R2}",0.471349353049908,0.838815789473684,1.03844243044683
"{B2,F2} => {R2}",0.519408502772643,0.838805970149254,1.038430274258
"{M2} => {G2}",0.55268022181146,0.861671469740634,1.03822776198148
"{A2,O2} => {F2}",0.452865064695009,0.859649122807018,1.03810307017544
"{B2} => {R2}",0.622920517560074,0.838308457711443,1.03781436069082
"{F2,K2} => {A2}",0.497227356746765,0.934027777777778,1.03759553958476
"{B2,W2} => {R2}",0.458410351201479,0.837837837837838,1.0372317397489
"{G2,W2} => {R2}",0.502772643253235,0.836923076923077,1.03609927829607
"{A2,M2} => {G2}",0.499075785582255,0.859872611464968,1.03606031804576
"{P2} => {A2}",0.506469500924214,0.931972789115646,1.03531268770342
"{A2,Z2} => {G2}",0.504621072088725,0.858490566037736,1.0343950918183
"{Z2} => {G2}",0.56007393715342,0.858356940509915,1.03423408644959
"{A2,B2} => {R2}",0.561922365988909,0.835164835164835,1.03392259913999
"{A2,F2,R2} => {G2}",0.524953789279113,0.858006042296072,1.03381128926988
"{F2,R2} => {G2}",0.578558225508318,0.857534246575342,1.03324282271105
"{A2,R2,Y2} => {G2}",0.465804066543438,0.857142857142857,1.03277123767101
"{F2,V2} => {G2}",0.463955637707948,0.856655290102389,1.03218376825254
"{A2,G2} => {R2}",0.621072088724584,0.833746898263027,1.03216721272379
"{R2} => {G2}",0.691312384473198,0.8558352402746,1.03119569039768
"{G2} => {R2}",0.691312384473198,0.832962138084632,1.03119569039768
"{A2,F2,G2} => {R2}",0.524953789279113,0.832844574780059,1.03105014864076
