"rules","support","confidence","lift"
"{V2} => {R2}",0.55637707948244,0.857549857549858,1.0616349495068
"{M2} => {G2}",0.55268022181146,0.861671469740634,1.03822776198148
"{B2} => {R2}",0.622920517560074,0.838308457711443,1.03781436069082
"{Z2} => {G2}",0.56007393715342,0.858356940509915,1.03423408644959
"{A2,B2} => {R2}",0.561922365988909,0.835164835164835,1.03392259913999
"{F2,R2} => {G2}",0.578558225508318,0.857534246575342,1.03324282271105
"{A2,G2} => {R2}",0.621072088724584,0.833746898263027,1.03216721272379
"{R2} => {G2}",0.691312384473198,0.8558352402746,1.03119569039768
"{G2} => {R2}",0.691312384473198,0.832962138084632,1.03119569039768
"{A2,R2} => {G2}",0.621072088724584,0.854961832061069,1.03014332103572
"{Z2} => {F2}",0.55637707948244,0.852691218130312,1.02970077903683
"{F2,G2} => {R2}",0.578558225508318,0.830238726790451,1.02782414460786
"{K2} => {A2}",0.606284658040665,0.921348314606742,1.02351014004568
"{A2,G2} => {F2}",0.630314232902033,0.846153846153846,1.02180631868132
"{D2} => {A2}",0.593345656192237,0.917142857142857,1.01883836902317
"{W2} => {G2}",0.600739371534196,0.844155844155844,1.01712318861539
"{A2,R2} => {F2}",0.611829944547135,0.842239185750636,1.01707901672119
"{L2} => {A2}",0.656192236598891,0.914948453608247,1.01640064353606
"{B2} => {G2}",0.626617375231054,0.843283582089552,1.01607220024599
"{F2} => {G2}",0.696857670979667,0.841517857142857,1.01394467865097
"{G2} => {F2}",0.696857670979667,0.839643652561247,1.01394467865097
"{A2,B2} => {G2}",0.565619223659889,0.840659340659341,1.01291025233119
"{F2,Y2} => {A2}",0.55083179297597,0.91131498470948,1.01236428486207
"{A2,F2} => {G2}",0.630314232902033,0.839901477832512,1.01199710357993
"{C2} => {A2}",0.565619223659889,0.910714285714286,1.0116969785861
"{G2,R2} => {F2}",0.578558225508318,0.836898395721925,1.01062953590527
"{Y2} => {R2}",0.598890942698706,0.816120906801008,1.01034647729827
"{W2} => {R2}",0.580406654343808,0.815584415584416,1.00968230853814
"{V2} => {A2}",0.589648798521257,0.908831908831909,1.00960587818904
"{A2,F2} => {R2}",0.611829944547135,0.815270935960591,1.00929422506792
"{G2,Y2} => {A2}",0.55083179297597,0.908536585365854,1.00927780838383
"{F2} => {R2}",0.674676524953789,0.814732142857143,1.00862720660347
"{R2} => {F2}",0.674676524953789,0.835240274599542,1.00862720660347
"{A2,B2} => {F2}",0.561922365988909,0.835164835164835,1.00853610675039
"{B2,F2} => {A2}",0.561922365988909,0.907462686567164,1.00808483251096
"{F2,R2} => {A2}",0.611829944547135,0.906849315068493,1.00740344856685
"{Y2} => {A2}",0.66543438077634,0.906801007556675,1.00734978457528
"{F2} => {A2}",0.750462107208872,0.90625,1.00673767967146
"{A2} => {F2}",0.750462107208872,0.833675564681725,1.00673767967146
"{B2} => {F2}",0.619223659889094,0.833333333333333,1.0063244047619
"{B2} => {A2}",0.672828096118299,0.90547263681592,1.00587412015896
"{M2} => {A2}",0.580406654343808,0.904899135446686,1.00523702726213
"{L2} => {R2}",0.582255083179298,0.811855670103093,1.00506617282786
"{F2,G2} => {A2}",0.630314232902033,0.904509283819629,1.00480394773392
"{B2,G2} => {A2}",0.565619223659889,0.902654867256637,1.00274390797914
"{L2} => {F2}",0.595194085027726,0.829896907216495,1.00217461340206
"{B2,R2} => {A2}",0.561922365988909,0.902077151335312,1.00210213320822
"{Z2} => {A2}",0.587800369685767,0.900849858356941,1.00073875435545
"{L2} => {G2}",0.595194085027726,0.829896907216495,0.999942598672881
"{A2,Y2} => {F2}",0.55083179297597,0.827777777777778,0.999615575396825
"{A2} => {R2}",0.726432532347505,0.806981519507187,0.999032041312101
"{R2} => {A2}",0.726432532347505,0.899313501144165,0.999032041312101
"{G2,R2} => {A2}",0.621072088724584,0.898395721925134,0.998012496019502
"{W2} => {F2}",0.587800369685767,0.825974025974026,0.997437384044527
"{A2,Y2} => {G2}",0.55083179297597,0.827777777777778,0.997389260084137
"{X2} => {A2}",0.567467652495379,0.89766081871345,0.997196104566687
"{G2} => {A2}",0.744916820702403,0.897550111358575,0.997073121652955
"{A2} => {G2}",0.744916820702403,0.827515400410678,0.997073121652954
"{Y2} => {G2}",0.606284658040665,0.826196473551637,0.995483946974244
"{W2} => {A2}",0.637707948243993,0.896103896103896,0.995466545774554
"{Y2} => {F2}",0.604436229205176,0.82367758186398,0.994664222741994
