"rules","support","confidence","lift"
"{M2} => {B2}",0.515711645101664,0.804034582132565,1.08204653963611
"{B2,G2} => {R2}",0.541589648798521,0.864306784660767,1.06999993249765
"{V2} => {R2}",0.55637707948244,0.857549857549858,1.0616349495068
"{A2,V2} => {R2}",0.504621072088725,0.855799373040752,1.05946787371864
"{M2} => {R2}",0.545286506469501,0.85014409221902,1.05246671370822
"{B2,R2} => {G2}",0.541589648798521,0.869436201780415,1.04758348588687
"{G2,Y2} => {R2}",0.512014787430684,0.844512195121951,1.04549450242786
"{R2,W2} => {G2}",0.502772643253235,0.866242038216561,1.04373483892018
"{A2,Z2} => {F2}",0.506469500924214,0.861635220125786,1.04050146001797
"{B2,F2} => {R2}",0.519408502772643,0.838805970149254,1.038430274258
"{M2} => {G2}",0.55268022181146,0.861671469740634,1.03822776198148
"{B2} => {R2}",0.622920517560074,0.838308457711443,1.03781436069082
"{G2,W2} => {R2}",0.502772643253235,0.836923076923077,1.03609927829607
"{P2} => {A2}",0.506469500924214,0.931972789115646,1.03531268770342
"{A2,Z2} => {G2}",0.504621072088725,0.858490566037736,1.0343950918183
"{Z2} => {G2}",0.56007393715342,0.858356940509915,1.03423408644959
"{A2,B2} => {R2}",0.561922365988909,0.835164835164835,1.03392259913999
"{A2,F2,R2} => {G2}",0.524953789279113,0.858006042296072,1.03381128926988
"{F2,R2} => {G2}",0.578558225508318,0.857534246575342,1.03324282271105
"{A2,G2} => {R2}",0.621072088724584,0.833746898263027,1.03216721272379
"{R2} => {G2}",0.691312384473198,0.8558352402746,1.03119569039768
"{G2} => {R2}",0.691312384473198,0.832962138084632,1.03119569039768
"{A2,F2,G2} => {R2}",0.524953789279113,0.832844574780059,1.03105014864076
"{A2,R2} => {G2}",0.621072088724584,0.854961832061069,1.03014332103572
"{R2,Y2} => {G2}",0.512014787430684,0.854938271604938,1.03011493304738
"{Z2} => {F2}",0.55637707948244,0.852691218130312,1.02970077903683
"{F2,G2} => {R2}",0.578558225508318,0.830238726790451,1.02782414460786
"{F2,W2} => {G2}",0.500924214417745,0.852201257861635,1.02681710579765
"{F2,Y2} => {R2}",0.500924214417745,0.828746177370031,1.02597638891805
"{J2} => {A2}",0.532347504621072,0.923076923076923,1.02543042173432
"{B2,F2} => {G2}",0.526802218114603,0.850746268656716,1.02506398962869
"{K2} => {A2}",0.606284658040665,0.921348314606742,1.02351014004568
"{Q2} => {R2}",0.502772643253235,0.826747720364742,1.02350232658427
"{A2,G2} => {F2}",0.630314232902033,0.846153846153846,1.02180631868132
